13	Wrap	18	25	4000	20	2800
14	Hyper Beam	18	120	5000	100	4000
16	Dark Pulse	16	45	3500	33	2300
18	Sludge	3	30	2600	25	1850
20	Vice Grip	18	25	2100	20	1850
21	Flame Wheel	9	40	4600	25	2700
22	Megahorn	6	80	3200	100	2400
24	Flamethrower	9	55	2900	50	1700
26	Dig	4	70	5800	33	4600
28	Cross Chop	1	60	2000	100	1500
30	Psybeam	13	40	3800	25	2300
31	Earthquake	4	100	4200	100	2000
32	Stone Edge	5	80	3100	100	1400
33	Ice Punch	14	45	3500	33	2100
34	Heart Stamp	13	25	2550	25	1950
35	Discharge	12	35	2500	33	1600
36	Flash Cannon	8	60	3900	33	2400
38	Drill Peck	2	40	2700	33	1600
39	Ice Beam	14	65	3650	50	2150
40	Blizzard	14	100	3900	100	3600
42	Heat Wave	9	80	3800	100	3000
45	Aerial Ace	2	30	2900	25	2000
46	Drill Run	4	50	3400	33	2100
47	Petal Blizzard	11	65	3200	50	2100
48	Mega Drain	11	25	3200	20	1400
49	Bug Buzz	6	75	4250	50	2600
50	Poison Fang	3	25	2400	20	1650
51	Night Slash	16	30	2700	25	2400
53	Bubble Beam	10	30	2900	25	2600
54	Submission	1	30	2100	33	1850
56	Low Sweep	1	30	2250	25	2000
57	Aqua Jet	10	25	2350	20	1700
58	Aqua Tail	10	45	2350	50	2050
59	Seed Bomb	11	40	2400	33	1300
60	Psyshock	13	40	2700	33	2200
62	Ancient Power	5	35	3600	25	2900
63	Rock Tomb	5	30	3400	25	2300
64	Rock Slide	5	50	3200	33	1500
65	Power Gem	5	40	2900	33	2000
66	Shadow Sneak	7	25	3100	20	2300
67	Shadow Punch	7	25	2100	25	1400
69	Ominous Wind	7	30	3100	25	1850
70	Shadow Ball	7	45	3080	33	2300
72	Magnet Bomb	8	30	2800	25	1750
74	Iron Head	8	30	2000	33	1550
75	Parabolic Charge	12	25	2100	20	1300
77	Thunder Punch	12	40	2400	33	1950
78	Thunder	12	100	4300	100	2550
79	Thunderbolt	12	55	2700	50	1900
80	Twister	15	25	2700	20	850
82	Dragon Pulse	15	65	3600	50	2100
83	Dragon Claw	15	35	1500	50	1200
84	Disarming Voice	17	25	3900	20	1800
85	Draining Kiss	17	25	2800	20	1000
86	Dazzling Gleam	17	55	4200	33	3300
87	Moonblast	17	85	4100	100	3500
88	Play Rough	17	55	2900	50	1400
89	Cross Poison	3	25	1500	25	1200
90	Sludge Bomb	3	55	2600	50	1950
91	Sludge Wave	3	70	3400	100	2400
92	Gunk Shot	3	65	3000	100	2000
94	Bone Club	4	25	1600	25	1250
95	Bulldoze	4	35	3400	25	1900
96	Mud Bomb	4	30	2600	25	2050
99	Signal Beam	6	45	3100	33	2000
100	X-Scissor	6	35	2100	33	1350
101	Flame Charge	9	25	3100	20	2700
102	Flame Burst	9	30	2100	25	1200
103	Fire Blast	9	100	4100	100	3600
104	Brine	10	25	2400	25	1650
105	Water Pulse	10	35	3300	25	1900
106	Scald	10	55	4000	33	1800
107	Hydro Pump	10	90	3800	100	1500
108	Psychic	13	55	2800	50	1600
109	Psystrike	13	100	5100	100	4400
111	Icy Wind	14	25	3800	20	2000
114	Giga Drain	11	50	3600	33	350
115	Fire Punch	9	40	2800	33	1690
116	Solar Beam	11	120	4900	100	3100
117	Leaf Blade	11	55	2800	50	1200
118	Power Whip	11	70	2800	100	1500
121	Air Cutter	2	30	3300	25	2200
122	Hurricane	2	80	3200	100	1030
123	Brick Break	1	30	1600	33	1100
125	Swift	18	30	3000	25	2300
126	Horn Attack	18	25	2200	25	1600
127	Stomp	18	30	2100	25	1200
129	Hyper Fang	18	35	2100	33	1700
131	Body Slam	18	40	1560	50	1100
132	Rest	18	35	3100	33	1395
133	Struggle	18	15	1695	20	800
134	Scald (Blastoise)	10	55	4000	33	1800
135	Hydro Pump (Blastoise)	10	90	3800	100	1500
136	Wrap (Green)	18	25	3700	20	2200
137	Wrap (Pink)	18	25	3700	20	2200
